"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 00:00","2019","11","01","00:00","7.0","","3.5","","78","","","","","","","","98.17","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 01:00","2019","11","01","01:00","5.5","","0.0","","68","","","","","","","","98.44","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 02:00","2019","11","01","02:00","4.7","","-0.9","","67","","","","","","","","98.75","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 03:00","2019","11","01","03:00","3.9","","-0.2","","75","","","","","","","","99.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 04:00","2019","11","01","04:00","3.7","","-0.4","","74","","","","","","","","99.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 05:00","2019","11","01","05:00","3.9","","-1.1","","70","","","","","","","","99.49","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 06:00","2019","11","01","06:00","3.9","","-1.5","","68","","","","","","","","99.73","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 07:00","2019","11","01","07:00","3.8","","-2.9","","62","","","","","","","","99.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 08:00","2019","11","01","08:00","4.0","","-4.0","","56","","","","","","","","100.15","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 09:00","2019","11","01","09:00","4.1","","-4.4","","54","","","","","","","","100.33","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 10:00","2019","11","01","10:00","4.6","","-4.8","","51","","","","","","","","100.44","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 11:00","2019","11","01","11:00","5.1","","-4.7","","49","","","","","","","","100.54","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 12:00","2019","11","01","12:00","5.3","","-4.3","","50","","","","","","","","100.59","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 13:00","2019","11","01","13:00","5.1","","-2.5","","58","","","","","","","","100.64","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 14:00","2019","11","01","14:00","4.7","","-1.3","","65","","","","","","","","100.74","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 15:00","2019","11","01","15:00","4.7","","-2.4","","60","","","","","","","","100.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 16:00","2019","11","01","16:00","4.9","","-3.2","","56","","","","","","","","100.94","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 17:00","2019","11","01","17:00","4.7","","-3.9","","54","","","","","","","","100.99","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 18:00","2019","11","01","18:00","4.4","","-4.1","","54","","","","","","","","101.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 19:00","2019","11","01","19:00","4.0","","-4.4","","54","","","","","","","","101.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 20:00","2019","11","01","20:00","4.0","","-4.5","","54","","","","","","","","100.98","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 21:00","2019","11","01","21:00","3.9","","-3.9","","57","","","","","","","","100.99","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 22:00","2019","11","01","22:00","3.6","","-3.8","","58","","","","","","","","100.97","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-01 23:00","2019","11","01","23:00","3.9","","-3.2","","60","","","","","","","","100.93","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 00:00","2019","11","02","00:00","3.2","","-3.0","","64","","","","","","","","100.88","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 01:00","2019","11","02","01:00","4.2","","-1.9","","65","","","","","","","","100.84","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 02:00","2019","11","02","02:00","4.7","","-1.1","","66","","","","","","","","100.79","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 03:00","2019","11","02","03:00","4.8","","-1.8","","63","","","","","","","","100.75","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 04:00","2019","11","02","04:00","5.0","","-1.5","","63","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 05:00","2019","11","02","05:00","5.2","","-0.6","","66","","","","","","","","100.64","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2019-11-02 06:00","2019","11","02","06:00","5.2","","1.0","","74","","","","","","","","100.57","","","","","","NA"
